   1577 SPIDER-MAN/PETER PARKER
   1334 CAPTAIN AMERICA
   1150 IRON MAN/TONY STARK
    963 THING/BENJAMIN J. GR
    956 THOR/DR. DONALD BLAK
    886 HUMAN TORCH/JOHNNY S
    854 MR. FANTASTIC/REED R
    835 HULK/DR. ROBERT BRUC
    819 WOLVERINE/LOGAN
    765 "JAMESON
    762 INVISIBLE WOMAN/SUE
    649 "JONES
    643 SCARLET WITCH/WANDA
    635 BEAST/HENRY &HANK& P
    631 DR. STRANGE/STEPHEN
    622 "WATSON-PARKER
    619 DAREDEVIL/MATT MURDO
    605 HAWK
    603 VISION
    585 CYCLOPS/SCOTT SUMMER
    581 WASP/JANET VAN DYNE
    561 ANT-MAN/DR. HENRY J.
    530 SUB-MARINER/NAMOR MA
    523 STORM/ORORO MUNROE S
    501 "ROBERTSON
    496 PROFESSOR X/CHARLES
    483 "FURY
    466 MARVEL GIRL/JEAN GRE
    452 COLOSSUS II/PETER RA
    444 NIGHTCRAWLER/KURT WA
    444 ANGEL/WARREN KENNETH
    427 ICEMAN/ROBERT BOBBY
    426 "PARKER
    415 SHE-HULK/JENNIFER WA
    400 "JARVIS
    390 WONDER MAN/SIMON WIL
    384 BLACK WIDOW/NATASHA
    379 "OSBORN
    356 "SUMMERS
    353 HERCULES [GREEK GOD]
    342 QUICKSILVER/PIETRO M
    341 "NELSON
    329 SHADOWCAT/KATHERINE
    327 "LEEDS
    321 ODIN [ASGARDIAN]
    320 ROGUE /
    320 "RICHARDS
    318 BLACK PANTHER/T'CHAL
    310 SILVER SURFER/NORRIN
    307 CANNONBALL II/SAM GU
    299 PUNISHER II/FRANK CA
    279 CAPTAIN BRITAIN/BRIA
    270 DR. DOOM/VICTOR VON
    262 CRYSTAL [INHUMAN]
    260 "STACY
    260 "ROSS
    259 HAVOK/ALEX SUMMERS
    255 LOKI [ASGARDIAN]
    255 BALDER [ASGARDIAN]
    253 "BANNER
    250 IRON MAN IV/JAMES R.
    249 "THOMPSON
    248 KINGPIN/WILSON FISK
    241 "CARTER
    240 SIF
    234 HOGUN [ASGARDIAN]
    234 FANDRAL [ASGARDIAN]
    234 "HOGAN
    233 VOLSTAGG
    232 "CAGE
    230 "DUGAN
    225 WOLFSBANE/RAHNE SINC
    225 "NORRISS
    224 PSYLOCKE/ELISABETH B
    223 BANSHEE/SEAN CASSIDY
    221 WONG
    221 FALCON/SAM WILSON
    215 MAGNETO/MAGNUS/ERIC
    213 "MASTERS
    212 SUNSPOT/ROBERTO DACO
    211 BLACK KNIGHT V/DANE
    199 IRON FIST/DANIEL RAN
    197 GAMBIT/REMY LEBEAU
    191 CLEA
    189 JUBILEE/JUBILATION L
    188 BOOMER/TABITHA SMITH
    187 MOON KNIGHT/MARC SPE
    184 USAGENT/CAPTAIN JOHN
    179 "MACTAGGERT
    177 POLARIS/LORNA DANE
    176 QUASAR III/WENDELL V
    176 KA-ZAR/KEVIN PLUNDER
    175 CAPTAIN MARVEL II/MO
    175 "HUDSON
    174 SHANG-CHI
    174 NOVA/RICHARD RIDER
    174 MOCKINGBIRD/DR. BARB
    172 MIRAGE II/DANIELLE M
    172 BINARY/CAROL DANVERS
    170 "URICH
    169 TIGRA/GREER NELSON
    168 "WATSON
    167 SPIDER-MAN CLONE/BEN
    165 "PAGE
    163 ZABU
    163 NAMORITA/NITA PRENTI
    163 MEDUSA/MEDUSALITH AM
    160 GHOST RIDER II/JOHNN
    160 "KINCAID
    156 FIRESTAR/ANGELICA JO
    154 MOONDRAGON/HEATHER D
    151 DRACULA/VLAD TEPES
    145 HEIMDALL [ASGARDIAN]
    143 SERSI/SYLVIA
    142 "COOPER
    141 THUNDERSTRIKE/ERIC K
    141 SASQUATCH/WALTER LAN
    141 DAZZLER II/ALLISON B
    139 MEGGAN
    139 JUSTICE II/VANCE AST
    137 "GRANT
    135 WHITE QUEEN/EMMA FRO
    135 GORGON [INHUMAN]
    135 GALACTUS/GALAN
    134 PHOENIX III/RACHEL S
    134 BLACK BOLT/BLACKANTO
    132 KARNAK [INHUMAN]
    131 STARFOX/EROS
    131 PUCK/EUGENE MILTON J
    131 BISHOP /
    130 RED SKULL/JOHANN SCH
    129 NIGHTHAWK II/KYLE RI
    129 ENCHANTRESS/AMORA/HE
    129 DOC SAMSON/DR. LEONA
    128 "TALBOT
    127 THUNDERBIRD II/JAMES
    126 MAGIK/ILLYANA RASPUT
    126 HELLCAT/PATSY WALKER
    124 FORGE
    123 "KNIGHT
    121 MAN-THING/THEODORE T
    120 SPEEDBALL/ROBBIE BAL
    120 GHOST RIDER III/DAN
    119 TRITON
    119 CAPTAIN MARVEL/CAPTA
    117 SHAMAN/MICHAEL TWOYO
    115 UATU
    115 "POWER
    114 WARLOCK III
    114 SPIDER-WOMAN/JESSICA
    114 MYSTIQUE/RAVEN DARKH
    114 LOCKHEED
    114 CYPHER/DOUG RAMSEY
    113 SHANNA/SHANNA O'HARA
    113 SANDMAN/WILLIAM BAKE
    113 NORTHSTAR/JEAN-PAUL
    113 HUMAN TORCH ANDROID/
    113 DAGGER/TANDY BOWEN
    111 MEPHISTO
    111 GEE/ALEX POWER
    110 "SMITH
    108 ANT-MAN II/SCOTT HAR
    107 LOCKJAW [INHUMAN]
    107 AURORA/JEANNE-MARIE
    106 "WING
    105 SIRYN/THERESA ROURKE
    105 CLOAK/TYRONE JOHNSON
    104 BLACK CAT/FELICIA HA
    103 LYJA LAZERFIST [SKRU
    103 KARNILLA [ASGARDIAN]
    102 PHARAOH RAMA-TUT
    102 "TARR
    101 SPIDER-WOMAN II/JULI
    101 DR. OCTOPUS/OTTO OCT
    100 "GYRICH
     99 VIZIER
     99 POWER MAN/ERIK JOSTE
     97 THANOS
     97 HIGH EVOLUTIONARY/HE
     97 BEETLE/ABNER RONALD
     97 "DRAKE
     96 WEREWOLF BY NIGHT/JA
     96 REDWING
     96 DR. DRUID/ANTHONY LU
     96 BLOB/FRED J. DUKES
     95 FRENCHIE/JEAN-PAUL D
     94 LILANDRA NERAMANI [S
     93 HELLSTORM/DAIMON HEL
     92 MOONSTONE II/KARLA S
     91 NIGHT THRASHER/DUANE
     91 MICROCHIP/LINUS LIEB
     91 GREEN GOBLIN/NORMAN
     91 "SITWELL
     89 "WU
     88 X-MAN/NATHAN GREY
     88 SABRETOOTH/VICTOR CR
     87 DOMINO III/BEATRICE/
     87 BOX IV/MADISON JEFFR
     87 "ROM
     87 "ARBOGAST
     86 COUNTERWEIGHT II/KAT
     86 "DE LA FONTAINE
     85 RICTOR/JULIO ESTEBAN
     85 NOMAD III/JACK MONRO
     85 "RESTON
     84 VASHTI
